Tempo;V1;V2;V3;A1;A2;A3;U1;U2;U3
s;V;V;V;A;A;A;V;V;V
0.370890;10848.56482;-3047.740712;-8029.528957;1.618283613;-1.29462689;4.854850838;13896.30553;4981.788244;-18878.09378
0.370955;10769.01531;-2759.373728;-8198.571672;1.618283613;-1.29462689;4.531194115;13528.38903;5439.197943;-18967.58698
0.371020;10644.71919;-2515.753345;-8392.473609;1.941940335;-1.29462689;4.854850838;13160.47254;5876.720264;-19037.1928
0.371085;10565.16968;-2232.358205;-8596.319236;1.941940335;-1.29462689;4.531194115;12797.52789;6363.961031;-19161.48892
0.371150;10480.64832;-1983.765978;-8735.530884;1.941940335;-1.29462689;4.531194115;12464.4143;6751.764906;-19216.17921
0.371215;10401.09881;-1700.370838;-8894.629909;1.941940335;-1.29462689;4.531194115;12101.46965;7194.259071;-19295.72872
0.371280;10276.8027;-1412.003854;-9018.926023;1.941940335;-1.29462689;4.531194115;11688.80655;7606.922169;-19295.72872
0.371345;10157.47843;-1168.38347;-9207.856116;1.941940335;-1.29462689;4.207537393;11325.8619;8039.472646;-19365.33454
0.371410;10033.18231;-959.5659992;-9381.870676;1.941940335;-0.970970168;4.531194115;10992.74831;8422.304677;-19415.05299
0.371475;9913.858043;-641.3679476;-9511.138634;1.941940335;-1.29462689;4.207537393;10555.22599;8869.770687;-19424.99668
0.371540;9789.561929;-353.0009634;-9630.462903;1.941940335;-1.29462689;4.207537393;10142.56289;9277.46194;-19420.02483
0.371605;9665.265815;-109.3805802;-9789.561929;2.265597058;-1.29462689;4.207537393;9774.646396;9680.181349;-19454.82774
0.371670;9545.941546;178.986404;-9918.829888;1.941940335;-1.29462689;4.207537393;9366.955142;10097.81629;-19464.77143
0.371735;9381.870676;462.3815436;-10038.15416;2.265597058;-1.29462689;4.207537393;8919.489132;10500.5357;-19420.02483
0.371800;9257.574562;785.5514397;-10132.6192;2.265597058;-1.29462689;4.207537393;8472.023122;10918.17064;-19390.19377
0.371865;9098.475536;964.5378437;-10276.8027;2.265597058;-1.29462689;4.207537393;8133.937692;11241.34054;-19375.27823
0.371930;8974.179422;1312.566963;-10316.57745;2.265597058;-1.29462689;3.88388067;7661.61246;11629.14441;-19290.75687
0.371995;8849.883308;1496.525211;-10470.70463;2.265597058;-0.970970168;3.88388067;7353.358097;11967.22984;-19320.58794
0.372060;8646.037682;1769.976662;-10550.25415;2.265597058;-1.29462689;3.560223948;6876.06102;12320.23081;-19196.29183
0.372125;8486.938656;2058.343646;-10684.49395;2.265597058;-1.29462689;3.560223948;6428.59501;12742.8376;-19171.4326
0.372190;8322.867785;2301.964029;-10783.93084;2.58925378;-1.29462689;3.88388067;6020.903756;13085.89487;-19106.79863
0.372255;8119.022159;2590.331013;-10833.64929;2.265597058;-1.29462689;3.560223948;5528.691145;13423.9803;-18952.67144
0.372320;7915.176532;2833.951396;-10938.05802;2.265597058;-1.29462689;3.560223948;5081.225135;13772.00942;-18853.23455
0.372385;7711.330905;3117.346536;-10997.72016;2.58925378;-1.29462689;3.560223948;4593.984369;14115.06669;-18709.05106
